endpoint,q,method,n_models,n_surfaces,primary_BA_model_balanced,suppression_flags,verdict_eligible,descriptive_only,model_clustered_ci_lo,model_clustered_ci_hi,surface_clustered_ci_lo,surface_clustered_ci_hi,lift_vs_majority,lift_vs_majority_ci_lo,lift_vs_majority_ci_hi,lift_vs_majority_perm_p,lift_vs_random_score,lift_vs_random_score_ci_lo,lift_vs_random_score_ci_hi,lift_vs_random_score_perm_p
acceptable_floor_choice,4,degree1_ridge,10,77,0.6288378014645299,below_feature_floor_degree1,False,True,,,,,,,,,,,,
acceptable_floor_choice,4,degree2_ridge,10,77,0.5708276953051254,below_feature_floor_degree2,False,True,,,,,,,,,,,,
acceptable_floor_choice,4,hamming_kernel,10,77,0.5912776135548465,,True,False,0.5819761363666994,0.5983725920904276,0.5807344859029147,0.6020745124538395,0.08545579537302847,0.07451515808825691,0.09389535001265106,0.0013998600139986002,0.09145089660479215,0.08248932348878493,0.09861683424130831,0.0012998700129987
acceptable_floor_choice,4,majority,10,77,0.5058218181818182,,True,False,0.5024452261904762,0.5094775183982684,0.5020823020833334,0.5105345607174688,0.0,0.0,0.0,1.0,0.0059951012317636925,0.0026408666546130014,0.010056196974828562,0.0016998300169983002
acceptable_floor_choice,4,random_score,10,77,0.49982671695005443,,True,False,0.49874641176612583,0.5009047828043249,0.4987805545999186,0.5008719459367496,-0.0059951012317636925,-0.010032445935288237,-0.002631292066484836,0.0016998300169983002,0.0,0.0,0.0,1.0
acceptable_floor_choice,6,degree1_ridge,10,77,0.6774350831206224,rank_deficient_above_floor_degree1,True,False,0.6578326048472035,0.693642346903047,0.6499185176472951,0.7073691066907031,0.16641401890705815,0.14372275333802773,0.1826947701698368,0.0022997700229977,0.1766299571316277,0.1568182390415551,0.1923344914889123,9.999000099990002e-05
acceptable_floor_choice,6,degree2_ridge,10,77,0.5923000797095072,below_feature_floor_degree2,False,True,,,,,,,,,,,,
acceptable_floor_choice,6,hamming_kernel,10,77,0.5937741925769632,,True,False,0.5844101620887501,0.6030666701339908,0.5796985773183976,0.6078834550560477,0.0827531283633989,0.07299623364807972,0.0903098319455455,0.0020997900209979003,0.09296906658796845,0.08433314085071593,0.10197638013837358,0.0016998300169983002
acceptable_floor_choice,6,majority,10,77,0.5110210642135643,,True,False,0.5058783520021645,0.516875644390332,0.5047120670995671,0.5184677634830447,0.0,0.0,0.0,1.0,0.010215938224569529,0.0050602080304152424,0.015985303928851443,0.001999800019998
acceptable_floor_choice,6,random_score,10,77,0.5008051259889947,,True,False,0.49975258536079215,0.5021081112588812,0.4997917662471287,0.5018141708945,-0.010215938224569529,-0.01617100411095242,-0.005088045413562073,0.0018998100189981002,0.0,0.0,0.0,1.0
acceptable_floor_choice,8,degree1_ridge,10,77,0.7068152192262331,,True,False,0.6829150037618209,0.7256162052859806,0.6763969550820906,0.7393115939646178,0.1919177841612981,0.16667811562576101,0.21137461930589765,0.0015998400159984002,0.20678074021184112,0.183531765661475,0.22562947548245166,0.0023997600239976003
acceptable_floor_choice,8,degree2_ridge,10,77,0.6223292195545337,below_feature_floor_degree2,False,True,,,,,,,,,,,,
acceptable_floor_choice,8,hamming_kernel,10,77,0.6034746092582524,,True,False,0.5921399455430367,0.6149236006994925,0.5870275962394512,0.6204627362678032,0.0885771741933174,0.0776654480303673,0.09690415549252086,0.0013998600139986002,0.10344013024386042,0.09171108364691317,0.11520958918683842,0.001999800019998
acceptable_floor_choice,8,majority,10,77,0.5148974350649351,,True,False,0.5080462927489179,0.5221717424242425,0.5069441990387064,0.5248922167884199,0.0,0.0,0.0,1.0,0.014862956050543035,0.008029108734281082,0.02212705841422141,0.0044995500449955
acceptable_floor_choice,8,random_score,10,77,0.500034479014392,,True,False,0.49925298422392134,0.500864057878246,0.4988812687076155,0.5012153684030363,-0.014862956050543035,-0.022163390502571958,-0.007958310371777097,0.0035996400359964,0.0,0.0,0.0,1.0
acceptable_floor_choice,12,degree1_ridge,10,77,0.7469300200755646,,True,False,0.7239939391262143,0.7660406421227247,0.71487612522646,0.7789250157994165,0.22184397029201489,0.19634688400117492,0.24275235597734385,0.0023997600239976003,0.24666913472967772,0.2242984756728906,0.26578678852605087,0.001999800019998
acceptable_floor_choice,12,degree2_ridge,10,77,0.6937533773857371,below_feature_floor_degree2,False,True,,,,,,,,,,,,
acceptable_floor_choice,12,hamming_kernel,10,77,0.622403799803222,,True,False,0.6066551130487422,0.6399678473354516,0.6003848349161954,0.6454708620211538,0.09731775001967226,0.0835586141402685,0.1081291396856882,0.0015998400159984002,0.12214291445733505,0.10644469528932525,0.13991858983995248,0.0022997700229977
acceptable_floor_choice,12,majority,10,77,0.5250860497835499,,True,False,0.5157245522186148,0.5355020565476191,0.5125562302541209,0.5399135832292707,0.0,0.0,0.0,1.0,0.0248251644376628,0.015159204947499614,0.03524005963426547,0.004199580041995801
acceptable_floor_choice,12,random_score,10,77,0.500260885345887,,True,False,0.499484524395849,0.5011806454839883,0.4989318027140166,0.5016312994574439,-0.0248251644376628,-0.03547710878042999,-0.015303953011089687,0.0035996400359964,0.0,0.0,0.0,1.0
acceptable_floor_choice,16,degree1_ridge,10,77,0.778190326963841,,True,False,0.7556641776380216,0.797181245217421,0.7452159125509127,0.8104996864625288,0.23997781974883386,0.21357477796063465,0.2641241290600052,0.0031996800319968005,0.2775835266854458,0.2558959351983657,0.29618665489402707,0.0020997900209979003
acceptable_floor_choice,16,degree2_ridge,10,77,0.7527124783588925,rank_deficient_above_floor_degree2,True,False,0.7204609660985555,0.7791477557726941,0.7237300538754909,0.7825961408563208,0.2144999711438854,0.17597599857631396,0.24742192035483532,0.0022997700229977,0.2521056780804974,0.22015075636439782,0.27768684952098677,0.0022997700229977
acceptable_floor_choice,16,hamming_kernel,10,77,0.6407360937773146,,True,False,0.6187142756949084,0.665244510091655,0.6133615237740869,0.6701721135017418,0.10252358656230735,0.08516413781425257,0.11731459877806026,0.0022997700229977,0.14012929349891934,0.11816475487793462,0.16376902476879027,0.0023997600239976003
acceptable_floor_choice,16,majority,10,77,0.5382125072150072,,True,False,0.5258125000000001,0.5507127870670997,0.5211968139880953,0.5586326972870879,0.0,0.0,0.0,1.0,0.037605706936611985,0.025905641362903735,0.050045459451097854,0.0023997600239976003
acceptable_floor_choice,16,random_score,10,77,0.5006068002783952,,True,False,0.49974292159084077,0.5014401521882054,0.4995219789185258,0.5017314337234914,-0.037605706936611985,-0.050041714023140164,-0.025523510494581497,0.0023997600239976003,0.0,0.0,0.0,1.0
acceptable_floor_choice,20,degree1_ridge,10,77,0.8043498444396813,,True,False,0.7817460722524604,0.8233747422303976,0.7732561114018911,0.8363803018646984,0.24630209912943601,0.21925250361423837,0.2721833555355855,0.0018998100189981002,0.3034746768470627,0.2814232966544309,0.32268193710323323,0.0021997800219978004
acceptable_floor_choice,20,degree2_ridge,10,77,0.7954098808320007,,True,False,0.7601364537706904,0.8246409332059256,0.7648788051537879,0.8260961011408998,0.2373621355217554,0.19657092964957373,0.27393189292449727,0.0026997300269973002,0.2945347132393821,0.25892885946766686,0.32426915462383193,0.0017998200179982
acceptable_floor_choice,20,hamming_kernel,10,77,0.6635802650963354,,True,False,0.6354818730505165,0.6938883040874173,0.6315530924609064,0.6980461663842336,0.10553251978609016,0.08357315238923586,0.12451814577295447,9.999000099990002e-05,0.1627050975037168,0.13385197703351542,0.19272402656366155,0.0008999100089991
acceptable_floor_choice,20,majority,10,77,0.5580477453102453,,True,False,0.543028436598124,0.5723852591089466,0.5353110561296343,0.5847728920454546,0.0,0.0,0.0,1.0,0.057172577717626696,0.041388915519605454,0.07146328945258085,0.0021997800219978004
acceptable_floor_choice,20,random_score,10,77,0.5008751675926185,,True,False,0.49951181268319267,0.5021347885487429,0.4996243617983149,0.5021384639367221,-0.057172577717626696,-0.07131201849061959,-0.04161393032938708,0.0016998300169983002,0.0,0.0,0.0,1.0
below_floor,4,degree1_ridge,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;below_feature_floor_degree1;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,4,degree2_ridge,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;below_feature_floor_degree2;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,4,hamming_kernel,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,4,majority,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,4,query_only,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,4,random_alert,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,6,degree1_ridge,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;rank_deficient_above_floor_degree1;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,6,degree2_ridge,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;below_feature_floor_degree2;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,6,hamming_kernel,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,6,majority,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,6,query_only,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,6,random_alert,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,8,degree1_ridge,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,8,degree2_ridge,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;below_feature_floor_degree2;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,8,hamming_kernel,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,8,majority,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,8,query_only,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,8,random_alert,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,12,degree1_ridge,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,12,degree2_ridge,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;below_feature_floor_degree2;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,12,hamming_kernel,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,12,majority,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
below_floor,12,query_only,0,0,,descriptive_only_valid_split_frac;min_surface_units_lt_5;harm_endpoint_CB14_descriptive_only,False,True,,,,,,,,,,,,
